channel\sample,1,2,3,4,5,6,7,8,9,10
11,86,86,87,89,87,87,85,86,85,87
12,88,89,88,79,89,89,89,89,89,88
13,88,90,88,90,80,57,90,90,86,90
14,89,91,67,90,90,64,90,90,90,89
15,90,90,89,89,85,90,89,90,90,90
16,89,91,89,90,88,90,89,90,90,89
17,88,79,86,78,84,85,72,79,84,86
18,89,82,85,89,89,89,90,82,89,90
19,90,90,91,90,90,90,90,91,90,90
20,88,88,87,89,88,88,88,88,83,88
21,89,90,90,90,89,77,88,90,84,90
22,85,72,89,74,89,89,87,89,89,89
23,84,85,84,78,84,84,86,89,70,84
24,89,91,90,34,89,90,90,89,64,86
25,90,90,90,90,90,91,90,90,90,91
26,91,90,80,91,91,91,90,91,82,90
